instruction,input,output
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",har qadam duri-e-manzil hai numayan mujhse,har qadam dūrī-e-manzil hai numāyāñ mujh se merī raftār se bhāge hai bayābāñ mujh se dars-e-unvān-e-tamāshā ba-taġhāful ḳhush-tar hai nigah rishta-e-shīrāza-e-mizhgāñ mujh se vahshat-e-ātish-e-dil se shab-e-tanhā.ī meñ sūrat-e-dūd rahā saaya gurezāñ mujh se ġham-e-ushshāq na ho sādgī-āmoz-e-butāñ kis qadar ḳhāna-e-ā.īna hai vīrāñ mujh se asar-e-ābla se jāda-e-sahrā-e-junūñ sūrat-e-rishta-e-gauhar hai charāġhāñ mujh se be-ḳhudī bistar-e-tamhīd-e-farāġhat ho jo pur hai saa.e kī tarah merā shabistāñ mujh se shauq-e-dīdār meñ gar tū mujhe gardan maare ho nigah misl-e-gul-e-shamā pareshāñ mujh se bekasī-hā-e-shab-e-hijr kī vahshat hai hai saaya ḳhurshīd-e-qayāmat meñ hai pinhāñ mujh se gardish-e-sāġhar-e-sad-jalva-e-rañgīñ tujh se ā.ina-dārī-e-yak-dīda-e-hairāñ mujh se nigah-e-garm se ek aag Tapaktī hai 'asad' hai charāġhāñ ḳhas-o-ḳhāshāk-e-gulistāñ mujh se bastan-e-ahd-e-mohabbat hama nā-dānī thā chashm-e-nakushūda rahā uqda-e-paimāñ mujh se ātish-afrozi-e-yak-shola-e-īmā tujh se chashmak-ārā.i-e-sad-shahr charāġhāñ mujh se har qadam duri-e-manzil hai numayan mujh se meri raftar se bhage hai bayaban mujh se dars-e-unwan-e-tamasha ba-taghaful KHush-tar hai nigah rishta-e-shiraaza-e-mizhgan mujh se wahshat-e-atish-e-dil se shab-e-tanhai mein surat-e-dud raha saya gurezan mujh se gham-e-ushshaq na ho sadgi-amoz-e-butan kis qadar KHana-e-aina hai viran mujh se asar-e-abla se jada-e-sahra-e-junun surat-e-rishta-e-gauhar hai charaghan mujh se be-KHudi bistar-e-tamhid-e-faraghat ho jo pur hai sae ki tarah mera shabistan mujh se shauq-e-didar mein gar tu mujhe gardan mare ho nigah misl-e-gul-e-shama pareshan mujh se bekasi-ha-e-shab-e-hijr ki wahshat hai hai saya KHurshid-e-qayamat mein hai pinhan mujh se gardish-e-saghar-e-sad-jalwa-e-rangin tujh se aaina-dari-e-yak-dida-e-hairan mujh se nigah-e-garm se ek aag Tapakti hai 'asad' hai charaghan KHas-o-KHashak-e-gulistan mujh se bastan-e-ahd-e-mohabbat hama na-dani tha chashm-e-nakushuda raha uqda-e-paiman mujh se aatish-afrozi-e-yak-shola-e-ima tujh se chashmak-arai-e-sad-shahr charaghan mujh se 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",zaKHm par chhiDken kahan tiflan-e-be-parwa namak,zaḳhm par chhiḌkeñ kahāñ tiflān-e-be-parvā namak kyā maza hotā agar patthar meñ bhī hotā namak gard-e-rāh-e-yār hai sāmān-e-nāz-e-zaḳhm-e-dil varna hotā hai jahāñ meñ kis qadar paidā namak Interestingmujh ko arzānī rahe tujh ko mubārak hojiyo nāla-e-bulbul kā dard aur ḳhanda-e-gul kā namak shor-e-jaulāñ thā kanār-e-bahr par kis kā ki aaj gard-e-sāhil hai ba-zaḳhm-e-mauja-e-dariyā namak daad detā hai mire zaḳhm-e-jigar kī vaah vaah yaad kartā hai mujhe dekhe hai vo jis jā namak chhoḌ kar jaanā tan-e-majrūh-e-āshiq haif hai dil talab kartā hai zaḳhm aur māñge haiñ a.azā namak ġhair kī minnat na khīñchūñgā pai-e-taufīr-e-dard zaḳhm misl-e-ḳhanda-e-qātil hai sar-tā-pā namak yaad haiñ 'ġhālib' tujhe vo din ki vajd-e-zauq meñ zaḳhm se girtā to maiñ palkoñ se chuntā thā namak is amal meñ aish kī lazzat nahīñ miltī 'asad' zor nisbat mai se rakhtā hai azārā kā namak zaKHm par chhiDken kahan tiflan-e-be-parwa namak kya maza hota agar patthar mein bhi hota namak gard-e-rah-e-yar hai saman-e-naz-e-zaKHm-e-dil warna hota hai jahan mein kis qadar paida namak Interestingmujh ko arzani rahe tujh ko mubarak hojiyo nala-e-bulbul ka dard aur KHanda-e-gul ka namak shor-e-jaulan tha kanar-e-bahr par kis ka ki aaj gard-e-sahil hai ba-zaKHm-e-mauja-e-dariya namak dad deta hai mere zaKHm-e-jigar ki wah wah yaad karta hai mujhe dekhe hai wo jis ja namak chhoD kar jaana tan-e-majruh-e-ashiq haif hai dil talab karta hai zaKHm aur mange hain aaza namak ghair ki minnat na khinchunga pai-e-taufir-e-dard zaKHm misl-e-KHanda-e-qatil hai sar-ta-pa namak yaad hain 'ghaalib' tujhe wo din ki wajd-e-zauq mein zaKHm se girta to main palkon se chunta tha namak is amal mein aish ki lazzat nahin milti 'asad' zor nisbat mai se rakhta hai azara ka namak 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",jis zaKHm ki ho sakti ho tadbir rafu ki,jis zaḳhm kī ho saktī ho tadbīr rafū kī likh dījiyo yā rab use qismat meñ adū kī achchhā hai sar-añgusht-e-hinā.ī kā tasavvur dil meñ nazar aatī to hai ik buuñd lahū kī kyuuñ Darte ho ushshāq kī be-hauslagī se yaañ to koī suntā nahīñ fariyād kisū kī dashne ne kabhī muñh na lagāyā ho jigar ko ḳhanjar ne kabhī baat na pūchhī ho gulū kī sad-haif vo nākām ki ik umr se 'ġhālib' hasrat meñ rahe ek but-e-arbada-jū kī go zindagi-e-zāhid-e-be-chāra abas hai itnā hai ki rahtī to hai tadbīr vazū kī jis zaKHm ki ho sakti ho tadbir rafu ki likh dijiyo ya rab use qismat mein adu ki achchha hai sar-angusht-e-hinai ka tasawwur dil mein nazar aati to hai ek bund lahu ki kyun Darte ho ushshaq ki be-hauslagi se yan to koi sunta nahin fariyaad kisu ki dashne ne kabhi munh na lagaya ho jigar ko KHanjar ne kabhi baat na puchhi ho gulu ki sad-haif wo nakaam ki ek umr se 'ghaalib' hasrat mein rahe ek but-e-arbada-ju ki go zindagi-e-zahid-e-be-chaara abas hai itna hai ki rahti to hai tadbir wazu ki 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",kya tang hum sitam-zadagan ka jahan hai,kyā tañg ham sitam-zadagāñ kā jahān hai jis meñ ki ek baiza-e-mor āsmān hai hai kā.enāt ko harakat tere zauq se partav se āftāb ke zarre meñ jaan hai hālāñki hai ye sīli-e-ḳhārā se laala rañg ġhāfil ko mere shīshe pe mai kā gumān hai kī us ne garm sīna-e-ahl-e-havas meñ jā aave na kyuuñ pasand ki ThanDā makān hai kyā ḳhuub tum ne ġhair ko bosa nahīñ diyā bas chup raho hamāre bhī muñh meñ zabān hai baiThā hai jo ki sāya-e-dīvār-e-yār meñ farmāñ-ravā-e-kishvar-e-hindūstān hai hastī kā e'tibār bhī ġham ne miTā diyā kis se kahūñ ki daaġh jigar kā nishān hai hai baare e'timād-e-vafā-dārī is qadar 'ġhālib' ham is meñ ḳhush haiñ ki nā-mehrbān hai dehlī ke rahne vaalo 'asad' ko satāo mat be-chāra chand roz kā yaañ mehmān hai Interestingkya tang hum sitam-zadagan ka jahan hai jis mein ki ek baiza-e-mor aasman hai hai kaenat ko harakat tere zauq se partaw se aaftab ke zarre mein jaan hai haalanki hai ye sili-e-KHara se lala rang ghafil ko mere shishe pe mai ka guman hai ki us ne garm sina-e-ahl-e-hawas mein ja aawe na kyun pasand ki ThanDa makan hai kya KHub tum ne ghair ko bosa nahin diya bas chup raho hamare bhi munh mein zaban hai baiTha hai jo ki saya-e-diwar-e-yar mein farman-rawa-e-kishwar-e-hindustan hai hasti ka e'tibar bhi gham ne miTa diya kis se kahun ki dagh jigar ka nishan hai hai bare e'timad-e-wafa-dari is qadar 'ghaalib' hum is mein KHush hain ki na-mehrban hai dehli ke rahne walo 'asad' ko satao mat be-chaara chand roz ka yan mehman hai Interesting
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",tu dost kasu ka bhi sitamgar na hua tha,tū dost kasū kā bhī sitamgar na huā thā auroñ pe hai vo zulm ki mujh par na huā thā chhoḌā mah-e-naḳhshab kī tarah dast-e-qazā ne ḳhurshīd hunūz us ke barābar na huā thā taufīq ba-andāza-e-himmat hai azal se āñkhoñ meñ hai vo qatra ki gauhar na huā thā jab tak ki na dekhā thā qad-e-yār kā aalam maiñ mo'taqid-e-fitna-e-mahshar na huā thā maiñ sāda-dil āzurdagi-e-yār se ḳhush huuñ ya.anī sabaq-e-shauq mukarrar na huā thā dariyā-e-ma.āsī tunuk-ābī se huā ḳhushk merā sar-e-dāman bhī abhī tar na huā thā jaarī thī 'asad' dāġh-e-jigar se mirī tahsīl ātish-kada jāgīr-e-samundar na huā thā tu dost kasu ka bhi sitamgar na hua tha auron pe hai wo zulm ki mujh par na hua tha chhoDa mah-e-naKHshab ki tarah dast-e-qaza ne KHurshid hunuz us ke barabar na hua tha taufiq ba-andaza-e-himmat hai azal se aankhon mein hai wo qatra ki gauhar na hua tha jab tak ki na dekha tha qad-e-yar ka aalam main mo'taqid-e-fitna-e-mahshar na hua tha main sada-dil aazurdagi-e-yar se KHush hun yani sabaq-e-shauq mukarrar na hua tha dariya-e-maasi tunuk-abi se hua KHushk mera sar-e-daman bhi abhi tar na hua tha jari thi 'asad' dagh-e-jigar se meri tahsil aatish-kada jagir-e-samundar na hua tha 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",sar-gashtagi mein aalam-e-hasti se yas hai,sar-gashtagī meñ ālam-e-hastī se yaas hai taskīñ ko de naved ki marne kī aas hai letā nahīñ mire dil-e-āvāra kī ḳhabar ab tak vo jāntā hai ki mere hī paas hai kījiye bayāñ surūr-e-tap-e-ġham kahāñ talak har mū mire badan pe zabān-e-sipās hai hai vo ġhurūr-e-husn se begāna-e-vafā har-chand us ke paas dil-e-haq-shanās hai pī jis qadar mile shab-e-mahtāb meñ sharāb is balġhamī-mizāj ko garmī hī raas hai har ik makān ko hai makīñ se sharaf 'asad' majnūñ jo mar gayā hai to jañgal udaas hai kyā ġham hai us ko jis kā 'alī' sā imaam ho itnā bhī ai falak-zada kyuuñ bad-havās hai sar-gashtagi mein aalam-e-hasti se yas hai taskin ko de nawed ki marne ki aas hai leta nahin mere dil-e-awara ki KHabar ab tak wo jaanta hai ki mere hi pas hai kijiye bayan surur-e-tap-e-gham kahan talak har mu mere badan pe zaban-e-sipas hai hai wo ghurur-e-husn se begana-e-wafa har-chand us ke pas dil-e-haq-shanas hai pi jis qadar mile shab-e-mahtab mein sharab is balghami-mizaj ko garmi hi ras hai har ek makan ko hai makin se sharaf 'asad' majnun jo mar gaya hai to jangal udas hai kya gham hai us ko jis ka 'ali' sa imam ho itna bhi ai falak-zada kyun bad-hawas hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",bala se hain jo ye pesh-e-nazar dar-o-diwar,balā se haiñ jo ye pesh-e-nazar dar-o-dīvār nigāh-e-shauq ko haiñ bāl-o-par dar-o-dīvār vufūr-e-ashk ne kāshāne kā kiyā ye rañg ki ho ga.e mire dīvār-o-dar dar-o-dīvār InterestingInterestingInterestingnahīñ hai saaya ki sun kar naved-e-maqdam-e-yār ga.e haiñ chand qadam pesh-tar dar-o-dīvār InterestingInterestinghuī hai kis qadar arzāni-e-mai-e-jalva ki mast hai tire kūche meñ har dar-o-dīvār jo hai tujhe sar-e-saudā-e-intizār to aa ki haiñ dukān-e-matā-e-nazar dar-o-dīvār Interestinghujūm-e-girya kā sāmān kab kiyā maiñ ne ki gir paḌe na mire paañv par dar-o-dīvār vo aa rahā mire ham-sā.e meñ to saa.e se hue fidā dar-o-dīvār par dar-o-dīvār nazar meñ khaTke hai bin tere ghar kī ābādī hamesha rote haiñ ham dekh kar dar-o-dīvār na pūchh be-ḳhudi-e-aish-e-maqdam-e-sailāb ki nāchte haiñ paḌe sar-ba-sar dar-o-dīvār na kah kisī se ki 'ġhālib' nahīñ zamāne meñ harīf-e-rāz-e-mohabbat magar dar-o-dīvār bala se hain jo ye pesh-e-nazar dar-o-diwar nigah-e-shauq ko hain baal-o-par dar-o-diwar wufur-e-ashk ne kashane ka kiya ye rang ki ho gae mere diwar-o-dar dar-o-diwar InterestingInterestingInterestingnahin hai saya ki sun kar nawed-e-maqdam-e-yar gae hain chand qadam pesh-tar dar-o-diwar InterestingInterestinghui hai kis qadar arzani-e-mai-e-jalwa ki mast hai tere kuche mein har dar-o-diwar jo hai tujhe sar-e-sauda-e-intizar to aa ki hain dukan-e-mata-e-nazar dar-o-diwar Interestinghujum-e-girya ka saman kab kiya main ne ki gir paDe na mere panw par dar-o-diwar wo aa raha mere ham-sae mein to sae se hue fida dar-o-diwar par dar-o-diwar nazar mein khaTke hai bin tere ghar ki aabaadi hamesha rote hain hum dekh kar dar-o-diwar na puchh be-KHudi-e-aish-e-maqdam-e-sailab ki nachte hain paDe sar-ba-sar dar-o-diwar na kah kisi se ki 'ghaalib' nahin zamane mein harif-e-raaz-e-mohabbat magar dar-o-diwar 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",gar KHamushi se faeda iKHfa-e-haal hai,gar ḳhāmushī se fā.eda iḳhfā-e-hāl hai ḳhush huuñ ki merī baat samajhnī muhāl hai kis ko sunā.ūñ hasrat-e-iz.hār kā gila dil fard-e-jama-o-ḳharch zabāñ-hā-e-lāl hai kis parde meñ hai ā.ina-pardāz ai ḳhudā rahmat ki uzr-ḳhvāh-e-lab-e-be-savāl hai hai hai ḳhudā-na-ḳhvāsta vo aur dushmanī ai shauq-e-munfa.il ye tujhe kyā ḳhayāl hai mushkīñ libās-e-kāba alī ke qadam se jaan nāf-e-zamīn hai na ki nāf-e-ġhazāl hai vahshat pe merī arsa-e-āfāq tañg thā dariyā zamīn ko araq-e-infi.āl hai hastī ke mat fareb meñ aa jā.iyo 'asad' aalam tamām halqa-e-dām-e-ḳhayāl hai Interestingpahlū-tahī na kar ġham-o-andoh se 'asad' dil vaqf-e-dard kar ki faqīroñ kā maal hai gar KHamushi se faeda iKHfa-e-haal hai KHush hun ki meri baat samajhni muhaal hai kis ko sunaun hasrat-e-izhaar ka gila dil fard-e-jama-o-KHarch zaban-ha-e-lal hai kis parde mein hai aaina-pardaz ai KHuda rahmat ki uzr-KHwah-e-lab-e-be-sawal hai hai hai KHuda-na-KHwasta wo aur dushmani ai shauq-e-munfail ye tujhe kya KHayal hai mushkin libas-e-kaba ali ke qadam se jaan naf-e-zamin hai na ki naf-e-ghazal hai wahshat pe meri arsa-e-afaq tang tha dariya zamin ko araq-e-infial hai hasti ke mat fareb mein aa jaiyo 'asad' aalam tamam halqa-e-dam-e-KHayal hai Interestingpahlu-tahi na kar gham-o-andoh se 'asad' dil waqf-e-dard kar ki faqiron ka mal hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",warasta us se hain ki mohabbat hi kyun na ho,vārasta us se haiñ ki mohabbat hī kyuuñ na ho kiije hamāre saath adāvat hī kyuuñ na ho chhoḌā na mujh meñ zo.af ne rañg iḳhtilāt kā hai dil pe baar naqsh-e-mohabbat hī kyuuñ na ho hai mujh ko tujh se tazkira-e-ġhair kā gila har-chand bar-sabīl-e-shikāyat hī kyuuñ na ho paidā huī hai kahte haiñ har dard kī davā yuuñ ho to chāra-e-ġham-e-ulfat hī kyuuñ na ho Daalā na be-kasī ne kisī se muāmla apne se khīñchtā huuñ ḳhajālat hī kyuuñ na ho hai aadmī bajā.e ḳhud ik mahshar-e-ḳhayāl ham anjuman samajhte haiñ ḳhalvat hī kyuuñ na ho hañgāma-e-zabūni-e-himmat hai infi.āl hāsil na kiije dahr se ibrat hī kyuuñ na ho vārastagī bahāna-e-begāngī nahīñ apne se kar na ġhair se vahshat hī kyuuñ na ho miTtā hai faut-e-fursat-e-hastī kā ġham koī umr-e-azīz sarf-e-ibādat hī kyuuñ na ho us fitna-ḳhū ke dar se ab uThte nahīñ 'asad' us meñ hamāre sar pe qayāmat hī kyuuñ na ho warasta us se hain ki mohabbat hi kyun na ho kije hamare sath adawat hi kyun na ho chhoDa na mujh mein zoaf ne rang iKHtilat ka hai dil pe bar naqsh-e-mohabbat hi kyun na ho hai mujh ko tujh se tazkira-e-ghair ka gila har-chand bar-sabil-e-shikayat hi kyun na ho paida hui hai kahte hain har dard ki dawa yun ho to chaara-e-gham-e-ulfat hi kyun na ho Dala na be-kasi ne kisi se muamla apne se khinchta hun KHajalat hi kyun na ho hai aadmi bajae KHud ek mahshar-e-KHayal hum anjuman samajhte hain KHalwat hi kyun na ho hangama-e-zabuni-e-himmat hai infial hasil na kije dahr se ibrat hi kyun na ho warastagi bahana-e-begangi nahin apne se kar na ghair se wahshat hi kyun na ho miTta hai faut-e-fursat-e-hasti ka gham koi umr-e-aziz sarf-e-ibaadat hi kyun na ho us fitna-KHu ke dar se ab uThte nahin 'asad' us mein hamare sar pe qayamat hi kyun na ho 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",dahr mein naqsh-e-wafa wajh-e-tasalli na hua,dahr meñ naqsh-e-vafā vaj.h-e-tasallī na huā hai ye vo lafz ki sharminda-e-ma.anī na huā sabza-e-ḳhat se tirā kākul-e-sarkash na dabā ye zamurrad bhī harīf-e-dam-e-af.ī na huā maiñ ne chāhā thā ki andoh-e-vafā se chhūTūñ vo sitamgar mire marne pe bhī raazī na huā dil guzargāh-e-ḳhayāl-e-mai-o-sāġhar hī sahī gar nafas jāda-e-sar-manzil-e-taqvī na huā huuñ tire va.ada na karne meñ bhī raazī ki kabhī gosh minnat-kash-e-gulbāñg-e-tasallī na huā kis se mahrūmī-e-qismat kī shikāyat kiije ham ne chāhā thā ki mar jaa.eñ so vo bhī na huā mar gayā sadma-e-yak-jumbish-e-lab se 'ġhālib' nā-tavānī se harīf-e-dam-e-īsī na huā na huī ham se raqam hairat-e-ḳhatt-e-ruḳh-e-yār safha-e.ā.ina jaulāñ-gah-e-tūtī na huā vus.at-e-rahmat-e-haq dekh ki baḳhshā jaave mujh sā kāfir ki jo mamnūn-e-ma.āsī na huā dahr mein naqsh-e-wafa wajh-e-tasalli na hua hai ye wo lafz ki sharminda-e-mani na hua sabza-e-KHat se tera kakul-e-sarkash na daba ye zamurrad bhi harif-e-dam-e-afi na hua main ne chaha tha ki andoh-e-wafa se chhuTun wo sitamgar mere marne pe bhi raazi na hua dil guzargah-e-KHayal-e-mai-o-saghar hi sahi gar nafas jada-e-sar-manzil-e-taqwi na hua hun tere wada na karne mein bhi raazi ki kabhi gosh minnat-kash-e-gulbang-e-tasalli na hua kis se mahrumi-e-qismat ki shikayat kije hum ne chaha tha ki mar jaen so wo bhi na hua mar gaya sadma-e-yak-jumbish-e-lab se 'ghaalib' na-tawani se harif-e-dam-e-isi na hua na hui hum se raqam hairat-e-KHatt-e-ruKH-e-yar safha-eaina jaulan-gah-e-tuti na hua wusat-e-rahmat-e-haq dekh ki baKHsha jawe mujh sa kafir ki jo mamnun-e-maasi na hua 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",ghuncha-e-na-shagufta ko dur se mat dikha ki yun,ġhuncha-e-nā-shagufta ko duur se mat dikhā ki yuuñ bose ko pūchhtā huuñ maiñ muñh se mujhe batā ki yuuñ pursish-e-tarz-e-dilbarī kījiye kyā ki bin kahe us ke har ek ishāre se nikle hai ye adā ki yuuñ raat ke vaqt mai piye saath raqīb ko liye aa.e vo yaañ ḳhudā kare par na kare ḳhudā ki yuuñ ġhair se raat kyā banī ye jo kahā to dekhiye sāmne aan baiThnā aur ye dekhnā ki yuuñ bazm meñ us ke rū-ba-rū kyuuñ na ḳhamosh baiThiye us kī to ḳhāmushī meñ bhī hai yahī mudda.ā ki yuuñ maiñ ne kahā ki bazm-e-nāz chāhiye ġhair se tahī sun ke sitam-zarīf ne mujh ko uThā diyā ki yuuñ mujh se kahā jo yaar ne jaate haiñ hosh kis tarah dekh ke merī be-ḳhudī chalne lagī havā ki yuuñ kab mujhe kū-e-yār meñ rahne kī vaz.a yaad thī ā.ina-dār ban ga.ī hairat-e-naqsh-e-pā ki yuuñ gar tire dil meñ ho ḳhayāl vasl meñ shauq kā zavāl mauj muhīt-e-āb meñ maare hai dast-o-pā ki yuuñ jo ye kahe ki reḳhta kyūñke ho rashk-e-fārsī gufta-e-'ġhālib' ek baar paḌh ke use sunā ki yuuñ ghuncha-e-na-shagufta ko dur se mat dikha ki yun bose ko puchhta hun main munh se mujhe bata ki yun pursish-e-tarz-e-dilbari kijiye kya ki bin kahe us ke har ek ishaare se nikle hai ye ada ki yun raat ke waqt mai piye sath raqib ko liye aae wo yan KHuda kare par na kare KHuda ki yun ghair se raat kya bani ye jo kaha to dekhiye samne aan baiThna aur ye dekhna ki yun bazm mein us ke ru-ba-ru kyun na KHamosh baiThiye us ki to KHamushi mein bhi hai yahi muddaa ki yun main ne kaha ki bazm-e-naz chahiye ghair se tahi sun ke sitam-zarif ne mujh ko uTha diya ki yun mujh se kaha jo yar ne jate hain hosh kis tarah dekh ke meri be-KHudi chalne lagi hawa ki yun kab mujhe ku-e-yar mein rahne ki waza yaad thi aaina-dar ban gai hairat-e-naqsh-e-pa ki yun gar tere dil mein ho KHayal wasl mein shauq ka zawal mauj muhit-e-ab mein mare hai dast-o-pa ki yun jo ye kahe ki reKHta kyunke ho rashk-e-farsi gufta-e-'ghaalib' ek bar paDh ke use suna ki yun 
